,operateur,libelle_categorie_consommation,libelle_grand_secteur,libelle_secteur_naf2,conso,pdl,indqual,nombre_mailles_secretisees,libelle_region
933,Energie développement services du Briançonnais,Entreprises,Tertiaire,Activités pour la santé humaine,5486.0,8,1.0,0,Provence-Alpes-Côte d'Azur
934,Energie développement services du Briançonnais,Entreprises,Tertiaire,Hébergement médico-social et social,1172.0,4,1.0,0,Provence-Alpes-Côte d'Azur
935,Energie développement services du Briançonnais,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",65.0,3,1.0,0,Provence-Alpes-Côte d'Azur
936,Energie développement services du Briançonnais,Entreprises,Tertiaire,Activités des organisations associatives,214.0,3,1.0,0,Provence-Alpes-Côte d'Azur
938,Energie et services de Seyssel,Entreprises,Agriculture,0,3166.496,26,0.984,0,Auvergne-Rhône-Alpes
939,Energie et services de Seyssel,Entreprises,Industrie,Industrie du papier et du carton,214.927,1,1.0,0,Auvergne-Rhône-Alpes
940,Energie et services de Seyssel,Entreprises,Industrie,Imprimerie et reproduction d'enregistrements,101.384,1,1.0,0,Auvergne-Rhône-Alpes
941,Energie et services de Seyssel,Entreprises,Industrie,Industrie pharmaceutique,10358.766,2,1.0,0,Auvergne-Rhône-Alpes
942,Energie et services de Seyssel,Entreprises,Industrie,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",1061.135,5,1.0,0,Auvergne-Rhône-Alpes
943,Energie et services de Seyssel,Entreprises,Tertiaire,Hébergement,799.358,6,1.0,0,Auvergne-Rhône-Alpes
944,Energie et services de Seyssel,Entreprises,Tertiaire,Services d'information,842.911,1,1.0,0,Auvergne-Rhône-Alpes
945,Energie et services de Seyssel,Entreprises,Tertiaire,"Activités des services financiers, hors assurance et caisses de retraite",4316.442,3,1.0,0,Auvergne-Rhône-Alpes
946,Energie et services de Seyssel,Entreprises,Tertiaire,Activités immobilières,1165.002,16,1.0,0,Auvergne-Rhône-Alpes
947,Energie et services de Seyssel,Entreprises,Tertiaire,Activités administratives et autres activités de soutien aux entreprises,632.799,3,0.998,0,Auvergne-Rhône-Alpes
948,Energie et services de Seyssel,Entreprises,Tertiaire,Activités pour la santé humaine,2335.564,3,0.926,0,Auvergne-Rhône-Alpes
949,Energie et services de Seyssel,Petits professionels,Industrie,0,3854.514,370,0.0742,0,Auvergne-Rhône-Alpes
950,Energie et services de Seyssel,Petits professionels,Secteur Inconnu,0,11375.425,1915,0.0666,0,Auvergne-Rhône-Alpes
951,Energie et services de Seyssel,Résidentiel,Résidentiel,0,189460.554,26850,0.119,0,Auvergne-Rhône-Alpes
952,Energie Pays Toy,Entreprises,Secteur Inconnu,0,2301.52,21,1.0,0,Occitanie
953,Energie Pays Toy,Petits professionels,Industrie,0,187.05,12,0.246,0,Occitanie
954,Energie Pays Toy,Petits professionels,Secteur Inconnu,0,1645.196,329,0.115,0,Occitanie
955,Energies-services Sainte Marie aux Chênes,Entreprises,Industrie,Industrie chimique,1055.935,1,1.0,0,Grand Est
956,Energies-services Sainte Marie aux Chênes,Entreprises,Industrie,Industrie automobile,348.532,1,1.0,0,Grand Est
957,Energies-services Sainte Marie aux Chênes,Entreprises,Tertiaire,Activités administratives et autres activités de soutien aux entreprises,138.942,1,0.866,0,Grand Est
958,Energies-services Sainte Marie aux Chênes,Petits professionels,Secteur Inconnu,0,1577.816,145,0.643,0,Grand Est
959,Energies-services Sainte Marie aux Chênes,Résidentiel,Résidentiel,0,10526.499,2079,0.317,0,Grand Est
960,Energies et services Creutzwald,Entreprises,Industrie,Fabrication de produits en caoutchouc et en plastique,1473.492,2,1.0,0,Grand Est
961,Energies et services Creutzwald,Entreprises,Industrie,Industrie automobile,6234.349,2,1.0,0,Grand Est
962,Energies et services Creutzwald,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,2934.639,5,0.98,0,Grand Est
963,Energies et services Creutzwald,Entreprises,Tertiaire,Activités de poste et de courrier,89.026,2,0.89,0,Grand Est
964,Energies et services Creutzwald,Entreprises,Tertiaire,Activités immobilières,652.325,3,0.908,0,Grand Est
965,Energies et services Creutzwald,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",9.258,1,0.458,0,Grand Est
966,Energies et services Creutzwald,Entreprises,Tertiaire,Autres services personnels,0.887,1,0.724,0,Grand Est
967,Energies et services Creutzwald,Petits professionels,Industrie,0,139.632,8,0.776,0,Grand Est
968,Energies et services Creutzwald,Petits professionels,Tertiaire,0,731.417,115,0.74,0,Grand Est
969,Energies et services Creutzwald,Petits professionels,Secteur Inconnu,0,8077.735,799,0.764,0,Grand Est
970,Energies et services Creutzwald,Résidentiel,Résidentiel,0,24040.701,6401,0.739,0,Grand Est
971,Energies et services d'Hagondange,Entreprises,Tertiaire,Transports terrestres et transport par conduites,559.284,1,1.0,0,Grand Est
972,Energies et services d'Hagondange,Entreprises,Tertiaire,Télécommunications,333.26,1,1.0,0,Grand Est
973,Energies et services d'Hagondange,Entreprises,Tertiaire,Activités administratives et autres activités de soutien aux entreprises,26.167,1,0.896,0,Grand Est
974,Energies et services d'Hagondange,Entreprises,Tertiaire,Activités pour la santé humaine,218.242,1,0.907,0,Grand Est
975,Energies et services d'Hagondange,Petits professionels,Tertiaire,0,793.945,79,0.698,0,Grand Est
976,Energies et services Hombourg-Haut,Entreprises,Industrie,Industries alimentaires,96.767,1,0.556,0,Grand Est
978,Energies et services Hombourg-Haut,Petits professionels,Secteur Inconnu,0,6163.42,232,0.516,0,Grand Est
979,Energies et services Pierrevillers,Entreprises,Industrie,Industries alimentaires,6.652,1,0.391,0,Grand Est
980,Energies et services Pierrevillers,Petits professionels,Secteur Inconnu,0,374.129,34,0.536,0,Grand Est
981,Energies et Services Sarre-Union,Entreprises,Industrie,Industries alimentaires,222.551,2,0.908,0,Grand Est
982,Energies et Services Sarre-Union,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",2270.819,3,0.986,0,Grand Est
983,Energies et Services Sarre-Union,Entreprises,Tertiaire,Activités immobilières,187.601,3,0.906,0,Grand Est
984,Energies et Services Sarre-Union,Entreprises,Tertiaire,Hébergement médico-social et social,359.784,1,0.894,0,Grand Est
985,Energies et Services Sarre-Union,Petits professionels,Tertiaire,0,1022.001,124,0.689,0,Grand Est
986,Energies et Services ville d'Amneville,Entreprises,Industrie,Industries alimentaires,203.337,3,0.834,0,Grand Est
987,Energies et Services ville d'Amneville,Entreprises,Industrie,0,183.074,2,0.89,0,Grand Est
988,Energies et Services ville d'Amneville,Entreprises,Tertiaire,Restauration,1618.058,10,0.91,0,Grand Est
989,Energies et Services ville d'Amneville,Entreprises,Tertiaire,Activités immobilières,72.619,1,0.878,0,Grand Est
990,Energies et Services ville d'Amneville,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,423.012,3,0.869,0,Grand Est
991,Energies et Services ville d'Amneville,Entreprises,Tertiaire,Organisation de jeux de hasard et d'argent,3022.307,2,1.0,0,Grand Est
992,Energies Services Lannemezan,0,Secteur Inconnu,0,86084.0,73,0.0,0,Occitanie
993,Energies Services Lavaur,Entreprises,Industrie,Industrie de l'habillement,107.0,1,0.9,0,Occitanie
994,Energies Services Lavaur,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",199.0,2,0.9,0,Occitanie
995,Energies Services Lavaur,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",4522.0,18,0.9,0,Occitanie
996,Energies Services Lavaur,Entreprises,Tertiaire,Transports terrestres et transport par conduites,19.0,1,0.9,0,Occitanie
997,Energies Services Lavaur,Entreprises,Tertiaire,Restauration,908.0,2,0.9,0,Occitanie
998,Energies Services Lavaur,Entreprises,Tertiaire,"Activités des services financiers, hors assurance et caisses de retraite",172.0,2,0.9,0,Occitanie
999,Energies Services Lavaur,Entreprises,Tertiaire,Activités immobilières,302.0,3,0.9,0,Occitanie
1000,Energies Services Lavaur,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",29.0,1,0.9,0,Occitanie
1001,Energies Services Lavaur,Petits professionels,Industrie,0,1674.0,129,0.5,0,Occitanie
1002,Energies Services Lavaur,Petits professionels,Secteur Inconnu,0,1470.0,265,0.5,0,Occitanie
1003,Energies Services Occitans,Petits professionels,Secteur Inconnu,0,8109.041,756,0.0,0,Occitanie
1004,Energis,Petits professionels,Industrie,0,3519.172,117,0.257,0,Grand Est
1005,Energis,Petits professionels,Secteur Inconnu,0,3651.128,411,0.0189,0,Grand Est
1006,Gascogne Energies Services,Petits professionels,Agriculture,0,631.12,99,0.0429,0,Nouvelle-Aquitaine
1007,Gascogne Energies Services,Petits professionels,Tertiaire,0,2301.579,205,0.0539,0,Nouvelle-Aquitaine
1008,Gascogne Energies Services,Résidentiel,Résidentiel,0,14554.198,3856,0.034,0,Nouvelle-Aquitaine
1009,Gazelec de Péronne,Entreprises,Secteur Inconnu,0,43.307,1,1.0,0,Île-de-France
1013,Gedia,Entreprises,Agriculture,0,247.021,1,0.91,0,Centre-Val de Loire
1014,Gedia,Entreprises,Industrie,Industrie du papier et du carton,414.115,2,0.904,0,Centre-Val de Loire
1015,Gedia,Entreprises,Industrie,Imprimerie et reproduction d'enregistrements,264.764,1,1.0,0,Centre-Val de Loire
1016,Gedia,Entreprises,Industrie,Industrie pharmaceutique,17136.779,4,0.983,0,Centre-Val de Loire
1017,Gedia,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",1730.357,5,0.971,0,Centre-Val de Loire
1018,Gedia,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,60.775,1,0.918,0,Centre-Val de Loire
1019,Gedia,Entreprises,Tertiaire,Commerce et réparation d'automobiles et de motocycles,1434.312,11,0.892,0,Centre-Val de Loire
1020,Gedia,Entreprises,Tertiaire,Transports terrestres et transport par conduites,928.643,6,0.941,0,Centre-Val de Loire
1021,Gedia,Entreprises,Tertiaire,Activités auxiliaires de services financiers et d'assurance,1.736,1,0.852,0,Centre-Val de Loire
1022,Gedia,Entreprises,Tertiaire,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,114.049,3,0.899,0,Centre-Val de Loire
1023,Gedia,Entreprises,Tertiaire,Publicité et études de marché,167.901,1,0.892,0,Centre-Val de Loire
1024,Gedia,Entreprises,Tertiaire,Services relatifs aux bâtiments et aménagement paysager,713.857,1,0.878,0,Centre-Val de Loire
1026,Gedia,Résidentiel,Résidentiel,0,59802.633,14125,0.467,0,Centre-Val de Loire
1028,GÉRÉDIS,Petits professionels,Tertiaire,0,83.883,4,0.517,0,Pays de la Loire
1030,GÉRÉDIS,Entreprises,Agriculture,0,186.487,1,1.0,0,Nouvelle-Aquitaine
1031,GÉRÉDIS,Entreprises,Industrie,Fabrication de boissons,91.024,1,1.0,0,Nouvelle-Aquitaine
1032,GÉRÉDIS,Entreprises,Industrie,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",38444.264,28,0.996,0,Nouvelle-Aquitaine
1033,GÉRÉDIS,Entreprises,Industrie,Imprimerie et reproduction d'enregistrements,1995.617,14,0.996,0,Nouvelle-Aquitaine
1034,GÉRÉDIS,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",28532.144,67,0.987,0,Nouvelle-Aquitaine
1035,GÉRÉDIS,Entreprises,Industrie,Industrie automobile,9045.96,12,1.0,0,Nouvelle-Aquitaine
1036,GÉRÉDIS,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,1689.281,18,0.98,0,Nouvelle-Aquitaine
1037,GÉRÉDIS,Entreprises,Tertiaire,Restauration,6184.369,64,0.997,0,Nouvelle-Aquitaine
1038,GÉRÉDIS,Entreprises,Tertiaire,"Programmation, conseil et autres activités informatiques",256.399,4,1.0,0,Nouvelle-Aquitaine
1039,GÉRÉDIS,Entreprises,Tertiaire,Services d'information,2398.153,3,1.0,0,Nouvelle-Aquitaine
1040,GÉRÉDIS,Entreprises,Tertiaire,Assurance,6024.787,18,0.965,0,Nouvelle-Aquitaine
1041,GÉRÉDIS,Entreprises,Tertiaire,Activités immobilières,3608.046,42,0.993,0,Nouvelle-Aquitaine
1042,GÉRÉDIS,Entreprises,Tertiaire,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,717.378,13,1.0,0,Nouvelle-Aquitaine
1043,GÉRÉDIS,Entreprises,Tertiaire,Activités de location et location-bail,416.481,6,1.0,0,Nouvelle-Aquitaine
1044,GÉRÉDIS,Entreprises,Tertiaire,Activités administratives et autres activités de soutien aux entreprises,14399.714,14,0.994,0,Nouvelle-Aquitaine
1045,GÉRÉDIS,Entreprises,Tertiaire,Activités pour la santé humaine,4982.46,10,1.0,0,Nouvelle-Aquitaine
1046,GÉRÉDIS,Entreprises,Tertiaire,Action sociale sans hébergement,1844.67,16,1.0,0,Nouvelle-Aquitaine
1047,GÉRÉDIS,Entreprises,Tertiaire,"Activités créatives, artistiques et de spectacle",658.065,2,1.0,0,Nouvelle-Aquitaine
1048,GÉRÉDIS,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",870.231,16,0.926,0,Nouvelle-Aquitaine
1049,GÉRÉDIS,Entreprises,Tertiaire,Autres services personnels,76.098,3,1.0,0,Nouvelle-Aquitaine
1050,GÉRÉDIS,Petits professionels,Agriculture,0,48310.636,3755,0.623,0,Nouvelle-Aquitaine
1051,GÉRÉDIS,Petits professionels,Industrie,0,14026.946,1458,0.521,0,Nouvelle-Aquitaine
1052,GÉRÉDIS,Résidentiel,Résidentiel,0,869344.802,134287,0.565,0,Nouvelle-Aquitaine
1053,Gignac Energie,Résidentiel,Résidentiel,0,17340.509,3337,0.0279,0,Occitanie
1054,Primeo Réseau de Distribution,Entreprises,Industrie,Industrie de l'habillement,55.0,1,1.0,0,Grand Est
1055,Primeo Réseau de Distribution,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",7962.0,4,1.0,0,Grand Est
1056,Primeo Réseau de Distribution,Entreprises,Industrie,Fabrication d'équipements électriques,12094.0,1,1.0,0,Grand Est
1057,Primeo Réseau de Distribution,Entreprises,Industrie,Construction de bâtiments,44.0,2,1.0,0,Grand Est
1058,Primeo Réseau de Distribution,Entreprises,Industrie,Travaux de construction spécialisés,195.0,3,0.697,0,Grand Est
1059,Primeo Réseau de Distribution,Entreprises,Tertiaire,Collecte et traitement des eaux usées,71.0,2,1.0,0,Grand Est
1060,Primeo Réseau de Distribution,Entreprises,Tertiaire,"Activités des services financiers, hors assurance et caisses de retraite",203.0,2,0.5,0,Grand Est
1061,Primeo Réseau de Distribution,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,222.0,1,0.5,0,Grand Est
1062,Primeo Réseau de Distribution,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,221.0,4,0.5,0,Grand Est
1063,Primeo Réseau de Distribution,Petits professionels,Industrie,0,728.0,96,0.5,0,Grand Est
1064,Régie communale d'électricité de Gattieres,Entreprises,Industrie,Industries alimentaires,162.0,1,1.0,0,Provence-Alpes-Côte d'Azur
1065,Régie communale d'électricité de Gattieres,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",50.0,1,1.0,0,Provence-Alpes-Côte d'Azur
1066,Régie communale d'électricité de Gattieres,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,35.0,1,1.0,0,Provence-Alpes-Côte d'Azur
1067,Régie communale d'électricité de Gattieres,Entreprises,Tertiaire,Restauration,645.0,3,1.0,0,Provence-Alpes-Côte d'Azur
1068,Régie communale d'électricité de Gattieres,Entreprises,Tertiaire,Télécommunications,119.0,2,1.0,0,Provence-Alpes-Côte d'Azur
1069,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Industrie,"Fabrication de produits informatiques, électroniques et optiques",1407.572,4,0.971,0,Occitanie
1070,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Industrie,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",1578.993,8,0.627,0,Occitanie
1071,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,83.981,3,0.585,0,Occitanie
1072,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,Activités de poste et de courrier,193.118,1,0.836,0,Occitanie
1073,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",385.816,1,1.0,0,Occitanie
1074,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,Télécommunications,451.114,3,0.929,0,Occitanie
1075,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,"Activités des services financiers, hors assurance et caisses de retraite",189.53,3,0.873,0,Occitanie
1076,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,Activités juridiques et comptables,6.073,1,0.0,0,Occitanie
1077,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,4387.181,18,0.497,0,Occitanie
1078,Coopérative d'électricité de Saint Martin de Londres,Entreprises,Tertiaire,Autres services personnels,55.419,2,0.922,0,Occitanie
1079,Coopérative d'électricité de Saint Martin de Londres,Petits professionels,Tertiaire,0,25193.323,2491,0.434,0,Occitanie
1080,Coopérative d'électricité de Saint Martin de Londres,Petits professionels,Secteur Inconnu,0,13771.86,1470,0.288,0,Occitanie
1081,Coopérative d'électricité de Villiers sur Marne,Résidentiel,Résidentiel,0,45780.96,13497,0.0301,0,Île-de-France
1082,EdF-SEI,Entreprises,Industrie,Fabrication de produits en caoutchouc et en plastique,586.451,4,0.0,0,Guadeloupe
1083,EdF-SEI,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",1341.609,19,0.0,0,Guadeloupe
1084,EdF-SEI,Entreprises,Industrie,"Fabrication de produits informatiques, électroniques et optiques",19.164,1,0.0,0,Guadeloupe
1085,EdF-SEI,Entreprises,Tertiaire,"Collecte, traitement et élimination des déchets ; récupération",3819.046,8,0.0,0,Guadeloupe
1086,EdF-SEI,Entreprises,Tertiaire,Commerce et réparation d'automobiles et de motocycles,7080.954,41,0.0,0,Guadeloupe
1087,EdF-SEI,Entreprises,Tertiaire,Transports par eau,308.807,1,0.0,0,Guadeloupe
1088,EdF-SEI,Entreprises,Tertiaire,Transports aériens,699.465,3,0.0,0,Guadeloupe
1089,EdF-SEI,Entreprises,Tertiaire,"Activités des services financiers, hors assurance et caisses de retraite",6937.786,40,0.0,0,Guadeloupe
1090,EdF-SEI,Entreprises,Tertiaire,Assurance,538.652,8,0.0,0,Guadeloupe
1091,EdF-SEI,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,10534.295,34,0.0,0,Guadeloupe
1092,EdF-SEI,Entreprises,Tertiaire,"Activités créatives, artistiques et de spectacle",540.164,5,0.0,0,Guadeloupe
1093,EdF-SEI,Entreprises,Industrie,Cokéfaction et raffinage,9215.61,2,0.0,0,Martinique
1094,EdF-SEI,Entreprises,Industrie,Fabrication de produits en caoutchouc et en plastique,4783.247,8,0.0,0,Martinique
1095,EdF-SEI,Entreprises,Industrie,Travaux de construction spécialisés,2721.513,16,0.0,0,Martinique
1096,EdF-SEI,Entreprises,Tertiaire,Transports terrestres et transport par conduites,74.855,2,0.0,0,Martinique
1097,EdF-SEI,Entreprises,Tertiaire,Télécommunications,12077.961,28,0.0,0,Martinique
1098,EdF-SEI,Entreprises,Tertiaire,Activités juridiques et comptables,215.462,4,0.0,0,Martinique
1099,EdF-SEI,Entreprises,Tertiaire,Activités vétérinaires,55.307,1,0.0,0,Martinique
1100,EdF-SEI,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,65270.586,298,0.0,0,Martinique
1101,EdF-SEI,Entreprises,Tertiaire,Action sociale sans hébergement,4709.725,33,0.0,0,Martinique
1102,EdF-SEI,Petits professionels,Tertiaire,0,99983.059,10085,0.0,0,Martinique
1103,EdF-SEI,Entreprises,Agriculture,0,166.961,2,0.0,0,Guyane
1104,EdF-SEI,Entreprises,Industrie,Imprimerie et reproduction d'enregistrements,761.467,3,0.0,0,Guyane
1105,EdF-SEI,Entreprises,Industrie,Fabrication d'autres matériels de transport,86.464,1,0.0,0,Guyane
1106,EdF-SEI,Entreprises,Industrie,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",5308.963,15,0.0,0,Guyane
1107,EdF-SEI,Entreprises,Tertiaire,Dépollution et autres services de gestion des déchets,20.991,1,0.0,0,Guyane
1108,EdF-SEI,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",4424.134,25,0.0,0,Guyane
1109,EdF-SEI,Entreprises,Tertiaire,Services d'information,55.386,1,0.0,0,Guyane
1110,EdF-SEI,Entreprises,Tertiaire,Activités juridiques et comptables,45.303,2,0.0,0,Guyane
1111,EdF-SEI,Entreprises,Tertiaire,Recherche-développement scientifique,127347.32,19,0.0,0,Guyane
1112,EdF-SEI,Entreprises,Tertiaire,Autres services personnels,277.717,5,0.0,0,Guyane
1113,EdF-SEI,Petits professionels,Agriculture,0,293.169,24,0.0,0,Guyane
1114,EdF-SEI,Entreprises,Agriculture,0,90.56,2,0.0,0,La Réunion
1115,EdF-SEI,Entreprises,Industrie,Fabrication de textiles,55.03,1,0.0,0,La Réunion
1116,EdF-SEI,Entreprises,Tertiaire,Services relatifs aux bâtiments et aménagement paysager,172.218,1,0.0,0,La Réunion
1117,EdF-SEI,Entreprises,Tertiaire,Activités administratives et autres activités de soutien aux entreprises,10148.748,18,0.0,0,La Réunion
1118,EdF-SEI,Entreprises,Tertiaire,"Activités créatives, artistiques et de spectacle",1862.468,9,0.0,0,La Réunion
1119,EdF-SEI,Entreprises,Tertiaire,Réparation d'ordinateurs et de biens personnels et domestiques,39.848,2,0.0,0,La Réunion
1120,EdF-SEI,Petits professionels,Secteur Inconnu,0,54999.842,7629,0.0,0,La Réunion
1121,EdF-SEI,Résidentiel,Résidentiel,0,1293660.645,362548,0.0,0,La Réunion
1122,EdF-SEI,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",32.53,1,0.0,0,Normandie
1123,EdF-SEI,Entreprises,Industrie,Fabrication de produits à base de tabac,858.252,1,0.0,0,Corse
1124,EdF-SEI,Entreprises,Tertiaire,Transports par eau,226.609,2,0.0,0,Corse
1125,EdF-SEI,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",2717.06,39,0.0,0,Corse
1126,EdF-SEI,Entreprises,Secteur Inconnu,0,4916.873,87,0.0,0,Corse
1127,Electricité de Mayotte,Petits professionels,Secteur Inconnu,0,49271.798,4678,0.0,0,Mayotte
1128,Enedis,Entreprises,Industrie,Industries alimentaires,647119.8158,2854,0.954,0,Île-de-France
1129,Enedis,Entreprises,Industrie,Cokéfaction et raffinage,9044.020926,7,0.995,0,Île-de-France
1130,Enedis,Entreprises,Industrie,Fabrication d'autres produits minéraux non métalliques,368898.9398,288,0.998,0,Île-de-France
1131,Enedis,Entreprises,Industrie,"Fabrication de produits informatiques, électroniques et optiques",276683.1006,298,0.993,0,Île-de-France
1132,Enedis,Entreprises,Industrie,Fabrication d'équipements électriques,87774.13585,157,0.988,0,Île-de-France
1133,Enedis,Entreprises,Industrie,Fabrication de machines et équipements n.c.a.,59616.01903,282,0.979,0,Île-de-France
1134,Enedis,Entreprises,Industrie,Travaux de construction spécialisés,298576.0272,2701,0.935,0,Île-de-France
1135,Enedis,Entreprises,Industrie,0,67269.7946,66,0.999,0,Île-de-France
1136,Enedis,Entreprises,Industrie,0,787.1474367,9,0.975,0,Île-de-France
1137,Enedis,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",521563.2278,831,0.992,0,Île-de-France
1138,Enedis,Entreprises,Tertiaire,"Collecte, traitement et élimination des déchets ; récupération",266293.7581,357,0.996,0,Île-de-France
1139,Enedis,Entreprises,Tertiaire,Commerce et réparation d'automobiles et de motocycles,193850.1892,1646,0.947,0,Île-de-France
1140,Enedis,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",955142.7683,4724,0.967,0,Île-de-France
1141,Enedis,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",2184466.768,8032,0.97,0,Île-de-France
1142,Enedis,Entreprises,Tertiaire,Transports aériens,122768.6038,54,0.999,0,Île-de-France
1143,Enedis,Entreprises,Tertiaire,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",108965.0283,453,0.975,0,Île-de-France
1144,Enedis,Entreprises,Tertiaire,Télécommunications,1078944.938,705,0.993,0,Île-de-France
1145,Enedis,Entreprises,Tertiaire,Services d'information,577159.8759,228,0.998,0,Île-de-France
1146,Enedis,Entreprises,Tertiaire,Assurance,113549.3459,516,0.971,0,Île-de-France
1147,Enedis,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,883981.4476,4691,0.96,0,Île-de-France
1148,Enedis,Entreprises,Tertiaire,"Autres activités spécialisées, scientifiques et techniques",35759.3251,259,0.96,0,Île-de-France
1149,Enedis,Entreprises,Tertiaire,Activités vétérinaires,3595.410127,31,0.949,0,Île-de-France
1150,Enedis,Entreprises,Tertiaire,Activités liées à l'emploi,12699.59011,99,0.958,0,Île-de-France
1151,Enedis,Entreprises,Tertiaire,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes",9046.66116,67,0.931,0,Île-de-France
1152,Enedis,Entreprises,Tertiaire,Enquêtes et sécurité,6834.423378,47,0.948,0,Île-de-France
1153,Enedis,Entreprises,Tertiaire,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,48033.30001,139,0.986,0,Bourgogne-Franche-Comté
1154,Enedis,Entreprises,Tertiaire,"Autres activités spécialisées, scientifiques et techniques",1631.167317,16,0.976,0,Bourgogne-Franche-Comté
1155,Enedis,Entreprises,Tertiaire,Activités liées à l'emploi,649.4548746,3,0.982,0,Bourgogne-Franche-Comté
1156,Enedis,Entreprises,Tertiaire,Activités pour la santé humaine,279359.1514,327,0.995,0,Bourgogne-Franche-Comté
1157,Enedis,Entreprises,Tertiaire,Action sociale sans hébergement,40022.86611,288,0.965,0,Bourgogne-Franche-Comté
1158,Enedis,Résidentiel,Résidentiel,0,7161097.96,1505607,0.781,0,Bourgogne-Franche-Comté
1159,Enedis,Entreprises,Industrie,Cokéfaction et raffinage,48286.57023,11,1.0,0,Normandie
1160,Enedis,Entreprises,Industrie,Industrie chimique,585975.9204,105,1.0,0,Normandie
1161,Enedis,Entreprises,Industrie,Fabrication d'équipements électriques,88800.65774,59,0.998,0,Normandie
1162,Enedis,Entreprises,Industrie,Génie civil,15104.31774,104,0.964,0,Normandie
1163,Enedis,Entreprises,Tertiaire,Dépollution et autres services de gestion des déchets,2555.793784,14,0.992,0,Normandie
1164,Enedis,Entreprises,Tertiaire,Hébergement,135575.457,730,0.967,0,Normandie
1165,Enedis,Entreprises,Tertiaire,Restauration,108100.2875,888,0.964,0,Normandie
1166,Enedis,Entreprises,Tertiaire,Télécommunications,49932.79132,163,0.968,0,Normandie
1167,Enedis,Entreprises,Tertiaire,Recherche-développement scientifique,33148.02219,30,0.995,0,Normandie
1168,Enedis,Entreprises,Tertiaire,"Autres activités spécialisées, scientifiques et techniques",1056.050942,11,0.952,0,Normandie
1169,Enedis,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,482205.1877,4066,0.954,0,Normandie
1170,Enedis,Entreprises,Tertiaire,Action sociale sans hébergement,50364.07792,355,0.957,0,Normandie
1171,Enedis,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",36054.06302,232,0.974,0,Normandie
